no_matricula_inmobiliaria;estado_folio;matriculas_matriz;matriculas_derivadas
1126691;ACTIVO;790793;
1126758;ACTIVO;911685;20058352
1126758;ACTIVO;911685;20058353
1127093;ACTIVO;;1151396
1127093;ACTIVO;;20125092
1127093;ACTIVO;;20159941
1127093;ACTIVO;;20285895
1127093;ACTIVO;;20285896
1127093;ACTIVO;;20285898
1127093;ACTIVO;;20337450
1130397;ACTIVO;;
1130399;ACTIVO;;20328497
1130399;ACTIVO;;20498542
1130400;ACTIVO;;
1130457;ACTIVO;831566;20943089
1130457;ACTIVO;831566;20943090
1130457;ACTIVO;831566;20943091
1130457;ACTIVO;831566;20943092
1130457;ACTIVO;831566;20943093
1130457;ACTIVO;831566;20943094
1130457;ACTIVO;831566;20943095
1130457;ACTIVO;831566;20943096
1130458;ACTIVO;831566;1190974
1130458;ACTIVO;831566;1191004
1130458;ACTIVO;831566;1191006
1130458;ACTIVO;831566;1191045
1130458;ACTIVO;831566;1191047
1130458;ACTIVO;831566;1191100
1131587;ACTIVO;909593;
1132242;ACTIVO;207277;
1135199;ACTIVO;911685;
1135536;ACTIVO;;20855853
1135536;ACTIVO;;20855854
1135536;ACTIVO;;20855855
1135536;ACTIVO;;20855856
1135536;ACTIVO;;20855857
1135536;ACTIVO;;20855858
1135536;ACTIVO;;20855859
1135536;ACTIVO;;20855860
1135536;ACTIVO;;20855861
1135536;ACTIVO;;20855862
1135536;ACTIVO;;20855863
1135536;ACTIVO;;20855864
1135536;ACTIVO;;20855865
1135536;ACTIVO;;20855866
1135536;ACTIVO;;20855867
1135536;ACTIVO;;20855868
1135536;ACTIVO;;20855869
1135536;ACTIVO;;20855870
1135536;ACTIVO;;20855871
1135536;ACTIVO;;20855872
1135537;ACTIVO;;20379596
1135537;ACTIVO;;20385267
1135537;ACTIVO;;20385268
1135537;ACTIVO;;20385269
1135537;ACTIVO;;20385270
1135537;ACTIVO;;20385271
1135537;ACTIVO;;20385272
1135537;ACTIVO;;20385273
1135537;ACTIVO;;20385274
1135537;ACTIVO;;20385275
1135537;ACTIVO;;20385276
1135537;ACTIVO;;20385277
1135537;ACTIVO;;20385278
1135837;ACTIVO;;
1136805;ACTIVO;;20131282
1136805;ACTIVO;;20532933
1136805;ACTIVO;;20532934
1136805;ACTIVO;;20532935
1136812;ACTIVO;586036;
1136818;ACTIVO;1111890;
1137125;ACTIVO;;
1139743;ACTIVO;920262;
1139744;ACTIVO;920262;
1139745;ACTIVO;920262;
1139746;ACTIVO;920262;
1139747;ACTIVO;920262;
1139748;ACTIVO;920262;
1139749;ACTIVO;920262;
1142386;ACTIVO;673269;
1142411;ACTIVO;120858;
1142412;ACTIVO;120858;20846743
1142412;ACTIVO;120858;20930519
1142412;ACTIVO;120858;20930520
1142412;ACTIVO;120858;20930521
1142413;CERRADO;120858;20930522
1142413;CERRADO;120858;20930523
1142413;CERRADO;120858;20930524
1142413;CERRADO;120858;20930525
1142415;ACTIVO;11863;
1142416;ACTIVO;11863;20801484
1142416;ACTIVO;11863;20930526
1142416;ACTIVO;11863;20930527
1142417;CERRADO;11863;20930528
1142417;CERRADO;11863;20930529
1142417;CERRADO;11863;20930530
1142417;CERRADO;11863;20930531
1142417;CERRADO;11863;20930532
1142417;CERRADO;11863;20930533
1142417;CERRADO;11863;20930534
1142417;CERRADO;11863;20930535
1142417;CERRADO;11863;20930536
1142417;CERRADO;11863;20930537
1142417;CERRADO;11863;20930538
1146371;CERRADO;;20796498
1146371;CERRADO;;20796499
1146395;ACTIVO;;20331982
1146395;ACTIVO;;20347729
1146395;ACTIVO;;20404727
1146395;ACTIVO;;20404728
1146395;ACTIVO;;20404729
1146395;ACTIVO;;20404730
1147393;ACTIVO;513496;
1147394;ACTIVO;513496;
1147593;ACTIVO;;
1147844;ACTIVO;1127248;
1148019;ACTIVO;575566;
1148393;ACTIVO;532025;
1149295;ACTIVO;662313;
1149662;ACTIVO;504484;20631464
1149662;ACTIVO;504484;20631465
1149662;ACTIVO;504484;20631466
1149734;ACTIVO;514092;
1151396;ACTIVO;1127093;
1151399;ACTIVO;420566, 20125092;
1151401;ACTIVO;420566, 20125092;
1151403;ACTIVO;420566, 20125092;
1151404;ACTIVO;420566, 20125092;
1153585;ACTIVO;577251;
1154048;ACTIVO;;
1154059;ACTIVO;586036;
1155660;ACTIVO;863692;
1156400;ACTIVO;;1209440
1156400;ACTIVO;;20756775
1156400;ACTIVO;;20756776
1156400;ACTIVO;;20756777
1159497;ACTIVO;656735;20169532
1159497;ACTIVO;656735;20265707
1159497;ACTIVO;656735;20265708
1159937;ACTIVO;;
1160916;ACTIVO;850193;
1161127;ACTIVO;671375;
1161220;ACTIVO;646207;
1163132;ACTIVO;662313;
116360;ACTIVO;;20343389
116360;ACTIVO;;20387839
1164202;ACTIVO;;
1165935;ACTIVO;720037;
1166098;ACTIVO;;
116932;ACTIVO;;
1169474;ACTIVO;662313;
1169475;ACTIVO;662313;
1169871;ACTIVO;;20660670
1172229;ACTIVO;586036;
117295;ACTIVO;;20959291
117295;ACTIVO;;20959292
117295;ACTIVO;;20959293
117295;ACTIVO;;20959294
117295;ACTIVO;;20959295
117295;ACTIVO;;20959296
117295;ACTIVO;;20959297
117295;ACTIVO;;20959298
117295;ACTIVO;;20959299
117295;ACTIVO;;20959300
117295;ACTIVO;;20959301
117295;ACTIVO;;20959302
117295;ACTIVO;;20959303
117295;ACTIVO;;20959304
117295;ACTIVO;;20959305
117295;ACTIVO;;20959306
117295;ACTIVO;;20959307
117295;ACTIVO;;20959308
117295;ACTIVO;;20959309
117295;ACTIVO;;20959310
117295;ACTIVO;;20959311
117295;ACTIVO;;20959312
117295;ACTIVO;;20959313
117295;ACTIVO;;20959314
117295;ACTIVO;;20959315
117295;ACTIVO;;20959316
117295;ACTIVO;;20959317
117295;ACTIVO;;20959318
117295;ACTIVO;;20959319
117295;ACTIVO;;20959320
117295;ACTIVO;;20959321
117295;ACTIVO;;20959322
117295;ACTIVO;;20959323
117295;ACTIVO;;20959324
117295;ACTIVO;;20959325
117295;ACTIVO;;20959326
117295;ACTIVO;;20959327
117295;ACTIVO;;20959328
117295;ACTIVO;;20959329
117295;ACTIVO;;20959330
117295;ACTIVO;;20959331
117295;ACTIVO;;20959332
117295;ACTIVO;;20959333
117295;ACTIVO;;20959334
117295;ACTIVO;;20959335
117295;ACTIVO;;20959336
117295;ACTIVO;;20959337
117295;ACTIVO;;20959338
117295;ACTIVO;;20959339
117295;ACTIVO;;20959340
117295;ACTIVO;;20959341
117295;ACTIVO;;20959342
117295;ACTIVO;;20959343
117295;ACTIVO;;20959344
117295;ACTIVO;;20959345
117295;ACTIVO;;20959346
117295;ACTIVO;;20959347
117295;ACTIVO;;20959348
117295;ACTIVO;;20959349
117295;ACTIVO;;20959350
117295;ACTIVO;;20959351
117295;ACTIVO;;20959352
117295;ACTIVO;;20959353
117295;ACTIVO;;20959354
117295;ACTIVO;;20959355
117295;ACTIVO;;20959356
117295;ACTIVO;;20959357
117295;ACTIVO;;20959358
117295;ACTIVO;;20959359
117295;ACTIVO;;20959360
117295;ACTIVO;;20959361
117295;ACTIVO;;20959362
117295;ACTIVO;;20959363
117295;ACTIVO;;20959364
117295;ACTIVO;;20959365
117295;ACTIVO;;20959366
117295;ACTIVO;;20959367
117295;ACTIVO;;20959368
117295;ACTIVO;;20959369
117295;ACTIVO;;20959370
117295;ACTIVO;;20959371
117295;ACTIVO;;20959372
117295;ACTIVO;;20959373
117295;ACTIVO;;20959374
117295;ACTIVO;;20959375
117295;ACTIVO;;20959376
117295;ACTIVO;;20959377
117295;ACTIVO;;20959378
117295;ACTIVO;;20959379
117295;ACTIVO;;20959380
117295;ACTIVO;;20959381
117295;ACTIVO;;20959382
117295;ACTIVO;;20959383
117295;ACTIVO;;20959384
117295;ACTIVO;;20959385
117295;ACTIVO;;20959386
117295;ACTIVO;;20959387
117295;ACTIVO;;20959388
117295;ACTIVO;;20959389
117295;ACTIVO;;20959390
117295;ACTIVO;;20959391
117295;ACTIVO;;20959392
117295;ACTIVO;;20959393
117295;ACTIVO;;20959394
117295;ACTIVO;;20959395
117295;ACTIVO;;20959396
117295;ACTIVO;;20959397
117295;ACTIVO;;20959398
117295;ACTIVO;;20959399
117295;ACTIVO;;20959400
117295;ACTIVO;;20959401
117295;ACTIVO;;20959402
117295;ACTIVO;;20959403
117295;ACTIVO;;20959404
117295;ACTIVO;;20959405
117295;ACTIVO;;20959406
117295;ACTIVO;;20959407
117295;ACTIVO;;20959408
117295;ACTIVO;;20959409
117295;ACTIVO;;20959410
117295;ACTIVO;;20959411
117295;ACTIVO;;20959412
117295;ACTIVO;;20959413
117295;ACTIVO;;20959414
117295;ACTIVO;;20959415
117295;ACTIVO;;20959416
117295;ACTIVO;;20959417
117295;ACTIVO;;20959418
117295;ACTIVO;;20959419
117295;ACTIVO;;20959420
117295;ACTIVO;;20959421
117295;ACTIVO;;20959422
117295;ACTIVO;;20959423
117295;ACTIVO;;20959424
117295;ACTIVO;;20959425
117295;ACTIVO;;20959426
117295;ACTIVO;;20959427
117295;ACTIVO;;20959428
117295;ACTIVO;;20959429
117295;ACTIVO;;20959430
117295;ACTIVO;;20959431
117295;ACTIVO;;20959432
117295;ACTIVO;;20959433
117295;ACTIVO;;20959434
117295;ACTIVO;;20959435
117295;ACTIVO;;20959436
117295;ACTIVO;;20959437
117295;ACTIVO;;20959438
117295;ACTIVO;;20959439
117295;ACTIVO;;20959440
117295;ACTIVO;;20959441
117295;ACTIVO;;20959442
117295;ACTIVO;;20959443
117295;ACTIVO;;20959444
117295;ACTIVO;;20959445
1176205;ACTIVO;996073;
1176206;ACTIVO;996073;
117645;CERRADO;;20771919
1177965;ACTIVO;;
1178379;ACTIVO;;
1178437;ACTIVO;69085;20298182
1178437;ACTIVO;69085;20312853
1179099;ACTIVO;799552;
1179297;ACTIVO;486311;
1179442;ACTIVO;379008;379008
1179443;ACTIVO;379008;379008
1179664;CERRADO;;20949947
1179664;CERRADO;;20949948
1183140;ACTIVO;1178395;20233650
1183141;ACTIVO;1178395;20354957
1183141;ACTIVO;1178395;20358471
1183141;ACTIVO;1178395;20358472
1183141;ACTIVO;1178395;20560862
1183141;ACTIVO;1178395;20740597
1183141;ACTIVO;1178395;20742415
1183141;ACTIVO;1178395;20742416
1184103;ACTIVO;;
1184575;ACTIVO;169598;
1184673;ACTIVO;;
1184720;ACTIVO;1045440;
1184756;ACTIVO;;20054492
1184756;ACTIVO;;20339257
1184756;ACTIVO;;20339258
1184756;ACTIVO;;20339259
1184756;ACTIVO;;20339262
1184797;ACTIVO;718734;
1184801;ACTIVO;109246;
1184859;ACTIVO;162031;
1188003;ACTIVO;67048;
1191036;ACTIVO;795878, 1130453;
11922;ACTIVO;;
11923;ACTIVO;;
1192596;ACTIVO;832871, 1192588;20233389
1193137;ACTIVO;211107;20493144
1193394;ACTIVO;863692;1193399
1193394;ACTIVO;863692;1193415
1193394;ACTIVO;863692;1193454
1193394;ACTIVO;863692;1193457
1193394;ACTIVO;863692;1193474
1193394;ACTIVO;863692;1193481
1193394;ACTIVO;863692;1193483
1193394;ACTIVO;863692;1193497
1193394;ACTIVO;863692;1193498
1193394;ACTIVO;863692;1193512
1193394;ACTIVO;863692;1193513
1193394;ACTIVO;863692;1193514
1193394;ACTIVO;863692;1193515
1193394;ACTIVO;863692;1193516
1193394;ACTIVO;863692;1193517
1193394;ACTIVO;863692;1193526
1193394;ACTIVO;863692;1193527
1193394;ACTIVO;863692;1193600
1193394;ACTIVO;863692;1193628
1193394;ACTIVO;863692;1193637
1193394;ACTIVO;863692;1193640
1193394;ACTIVO;863692;1193646
1193394;ACTIVO;863692;1193649
1193394;ACTIVO;863692;1193888
1193394;ACTIVO;863692;1193893
1193394;ACTIVO;863692;1193897
1193394;ACTIVO;863692;20043176
1193394;ACTIVO;863692;20043177
1193394;ACTIVO;863692;20043178
1193394;ACTIVO;863692;20043179
1193394;ACTIVO;863692;20043180
1193394;ACTIVO;863692;20043182
1193394;ACTIVO;863692;20043183
1193394;ACTIVO;863692;20043184
1193394;ACTIVO;863692;20043188
1193394;ACTIVO;863692;20043189
1193394;ACTIVO;863692;20043190
1193394;ACTIVO;863692;20043191
1193394;ACTIVO;863692;20043192
1193394;ACTIVO;863692;20043193
1193394;ACTIVO;863692;20043194
1193394;ACTIVO;863692;20043195
1193394;ACTIVO;863692;20043196
1193394;ACTIVO;863692;20043197
1193394;ACTIVO;863692;20043198
1193394;ACTIVO;863692;20043199
1193394;ACTIVO;863692;20043200
1193394;ACTIVO;863692;20043201
1193394;ACTIVO;863692;20043202
1193394;ACTIVO;863692;20043203
1193394;ACTIVO;863692;20043204
1193394;ACTIVO;863692;20043205
1193394;ACTIVO;863692;20043206
1193394;ACTIVO;863692;20043207
1193394;ACTIVO;863692;20043208
1193394;ACTIVO;863692;20043209
1193394;ACTIVO;863692;20043210
1193394;ACTIVO;863692;20043211
1193394;ACTIVO;863692;20043212
1193394;ACTIVO;863692;20043213
1193394;ACTIVO;863692;20043214
1193394;ACTIVO;863692;20043215
1193394;ACTIVO;863692;20043216
1193394;ACTIVO;863692;20043217
1193394;ACTIVO;863692;20043218
1193394;ACTIVO;863692;20043219
1193394;ACTIVO;863692;20043220
1193394;ACTIVO;863692;20043221
1193394;ACTIVO;863692;20043222
1193394;ACTIVO;863692;20043223
1193394;ACTIVO;863692;20043224
1193394;ACTIVO;863692;20043225
1193394;ACTIVO;863692;20043226
1193394;ACTIVO;863692;20043227
1193394;ACTIVO;863692;20043228
1193394;ACTIVO;863692;20043229
1193394;ACTIVO;863692;20043230
1193394;ACTIVO;863692;20043231
1193394;ACTIVO;863692;20043232
1193394;ACTIVO;863692;20043233
1193394;ACTIVO;863692;20043234
1193394;ACTIVO;863692;20043235
1193394;ACTIVO;863692;20043236
1193394;ACTIVO;863692;20043237
1193394;ACTIVO;863692;20043238
1193394;ACTIVO;863692;20043239
1193394;ACTIVO;863692;20043240
1193394;ACTIVO;863692;20043241
1193394;ACTIVO;863692;20043242
1193394;ACTIVO;863692;20043243
1193394;ACTIVO;863692;20043244
1193394;ACTIVO;863692;20043245
1193394;ACTIVO;863692;20043246
1193394;ACTIVO;863692;20043247
1193394;ACTIVO;863692;20043248
1193394;ACTIVO;863692;20043249
1193394;ACTIVO;863692;20043250
1193394;ACTIVO;863692;20043251
1193394;ACTIVO;863692;20043252
1193394;ACTIVO;863692;20043253
1193394;ACTIVO;863692;20043255
1193394;ACTIVO;863692;20043256
1193394;ACTIVO;863692;20043257
1193465;ACTIVO;1073951;
1193531;ACTIVO;562202, 1193530;
1193532;ACTIVO;562202, 1193530;
1193533;ACTIVO;562202, 1193530;
1193535;ACTIVO;562202, 1193530;
1193536;ACTIVO;562202, 1193530;
1193537;ACTIVO;562202, 1193530;
1193538;ACTIVO;562202, 1193530;
1193539;ACTIVO;562202, 1193530;
1193893;ACTIVO;868122, 1193394;
1195069;ACTIVO;646617;
1195070;CERRADO;646617;20482020
1195071;ACTIVO;646617;
1195073;ACTIVO;646617;
1195074;ACTIVO;646617;20479905
1195074;ACTIVO;646617;20479906
1195074;ACTIVO;646617;20495123
1195074;ACTIVO;646617;20495124
1195099;ACTIVO;162031;
1195162;ACTIVO;;
1195163;ACTIVO;;
1196044;ACTIVO;810547;20918399
1196044;ACTIVO;810547;20918400
1196044;ACTIVO;810547;20918401
1196044;ACTIVO;810547;20918402
1196068;ACTIVO;;
1197253;ACTIVO;169598;
1197336;ACTIVO;1060505;
1197513;ACTIVO;941046;
1197516;ACTIVO;941046;20403493
1197516;ACTIVO;941046;20403494
1197517;ACTIVO;941046;
1197518;ACTIVO;941046;
1197519;ACTIVO;941046;
1197521;ACTIVO;941046;20059500
1197521;ACTIVO;941046;20060186
1197521;ACTIVO;941046;20060187
1197522;ACTIVO;941046;
1198247;ACTIVO;;1198259
1198247;ACTIVO;;20873422
1198247;ACTIVO;;20873423
1200012;ACTIVO;109246;20727564
1200012;ACTIVO;109246;20727565
1200012;ACTIVO;109246;20727566
1200012;ACTIVO;109246;20727567
1200065;ACTIVO;341735;20907500
1200065;ACTIVO;341735;20907501
1200065;ACTIVO;341735;20907502
1200065;ACTIVO;341735;20907503
1200065;ACTIVO;341735;20907504
1200065;ACTIVO;341735;20907505
1200065;ACTIVO;341735;20907506
1200065;ACTIVO;341735;20907507
1200065;ACTIVO;341735;20907508
1200065;ACTIVO;341735;20907509
1200065;ACTIVO;341735;20907510
1200065;ACTIVO;341735;20907511
1200065;ACTIVO;341735;20907512
1200065;ACTIVO;341735;20907513
1200065;ACTIVO;341735;20907514
1200189;ACTIVO;1045440;
1200548;ACTIVO;577251;
1200549;ACTIVO;577251;
1200564;ACTIVO;198249;20168965
1200564;ACTIVO;198249;20168966
1200564;ACTIVO;198249;20168967
1200564;ACTIVO;198249;20337245
1200564;ACTIVO;198249;20337246
1200565;ACTIVO;198249;20178018
1200565;ACTIVO;198249;20205801
1200565;ACTIVO;198249;20371231
1200565;ACTIVO;198249;20465198
1200566;ACTIVO;198249;
1200568;ACTIVO;198249;
1200976;ACTIVO;1183063;
1201299;ACTIVO;;
1201300;ACTIVO;;
1201301;ACTIVO;;
1202170;ACTIVO;866794;
1202690;ACTIVO;681986;
1202833;ACTIVO;1188328;
1203069;ACTIVO;486308;20080396
1203577;ACTIVO;1187104;
1203591;ACTIVO;;20934548
1203591;ACTIVO;;20934549
1203591;ACTIVO;;20934550
1203591;ACTIVO;;20934551
1205060;ACTIVO;524933;
1205096;ACTIVO;575565;
1205097;ACTIVO;575565;
1206330;ACTIVO;;20661877
1206330;ACTIVO;;20661878
1206330;ACTIVO;;20661879
1206330;ACTIVO;;20661880
1206330;ACTIVO;;20661881
1206330;ACTIVO;;20661882
1206330;ACTIVO;;20661883
1206330;ACTIVO;;20661884
1206330;ACTIVO;;20661885
1206330;ACTIVO;;20661886
1206983;ACTIVO;629360;
1207000;ACTIVO;;
1207001;ACTIVO;;
1209440;ACTIVO;1156400;
1210066;ACTIVO;866794;
1211431;ACTIVO;577251;
1211967;ACTIVO;1183063;
1211992;ACTIVO;;
1212407;ACTIVO;1198371;20201864
1212543;ACTIVO;1183879;
1212545;ACTIVO;1212544;
